Order,Property Id,DOF Gross Floor Area,Year Built,Number of Buildings - Self-reported,Occupancy,Site EUI (kBtu/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Natural Gas Use (kBtu),Weather Normalized Site Natural Gas Use (therms),Water Intensity (All Water Sources) (gal/ft²),Latitude,Longitude,Community Board,Census Tract,log_Direct GHG Emissions (Metric Tons CO2e),log_Water Intensity (All Water Sources) (gal/ft²),Largest Property Use Type_Adult Education,Largest Property Use Type_Automobile Dealership,Largest Property Use Type_Bank Branch,Largest Property Use Type_College/University,Largest Property Use Type_Convenience Store without Gas Station,Largest Property Use Type_Courthouse,Largest Property Use Type_Distribution Center,Largest Property Use Type_Enclosed Mall,Largest Property Use Type_Financial Office,Largest Property Use Type_Hospital (General Medical & Surgical),Largest Property Use Type_Hotel,Largest Property Use Type_K-12 School,Largest Property Use Type_Library,Largest Property Use Type_Mailing Center/Post Office,Largest Property Use Type_Manufacturing/Industrial Plant,Largest Property Use Type_Medical Office,Largest Property Use Type_Movie Theater,Largest Property Use Type_Multifamily Housing,Largest Property Use Type_Museum,Largest Property Use Type_Non-Refrigerated Warehouse,Largest Property Use Type_Other,Largest Property Use Type_Other - Education,Largest Property Use Type_Other - Entertainment/Public Assembly,Largest Property Use Type_Other - Lodging/Residential,Largest Property Use Type_Other - Mall,Largest Property Use Type_Other - Public Services,Largest Property Use Type_Other - Recreation,Largest Property Use Type_Other - Services,Largest Property Use Type_Other - Specialty Hospital,Largest Property Use Type_Outpatient Rehabilitation/Physical Therapy,Largest Property Use Type_Parking,Largest Property Use Type_Performing Arts,Largest Property Use Type_Pre-school/Daycare,Largest Property Use Type_Refrigerated Warehouse,"Largest Property Use Type_Repair Services (Vehicle, Shoe, Locksmith, etc.)",Largest Property Use Type_Residence Hall/Dormitory,Largest Property Use Type_Residential Care Facility,Largest Property Use Type_Restaurant,Largest Property Use Type_Retail Store,Largest Property Use Type_Self-Storage Facility,Largest Property Use Type_Senior Care Community,Largest Property Use Type_Social/Meeting Hall,Largest Property Use Type_Strip Mall,Largest Property Use Type_Supermarket/Grocery Store,Largest Property Use Type_Urgent Care/Clinic/Other Outpatient,Largest Property Use Type_Wholesale Club/Supercenter,Largest Property Use Type_Worship Facility,Borough_Staten Island
1072,4412241,67440.0,1900,1,100,86.1,14.9,0.0,1076.5,12.0,6.21,40.72372,-73.998211,2.0,43.0,5.34185566856252,1.8261608959453874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2412,2825625,285499.0,2009,1,100,56.3,5.2,0.4,11590619.7,124518.6,60.1,40.739298,-73.982823,6.0,68.0,6.422597401964724,4.096009841541162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11545,3527766,59312.0,1962,1,100,89.1,,0.8,4342328.0,46600.2,0.0,40.601067,-73.96467700000001,15.0,416.0,5.440684607834958,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4051,2667309,108131.0,1962,1,100,78.8,5.7,0.0,232460.0,2375.5,42.99,40.757637,-73.965337,6.0,108.0,6.07718342251052,3.76096753050819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3118,4038859,130410.0,1902,1,100,62.4,5.1,,,,29.66,40.777515,-73.981095,7.0,157.0,6.097175001530096,3.389799336709786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6144,5831773,58904.0,1925,1,100,163.9,8.0,0.7,3711667.2,40671.2,53.81,40.864258,-73.928636,12.0,287.0,6.249975242259483,3.9854593235013285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4268,2790729,149056.0,1915,1,100,56.5,5.7,0.4,5913541.7,59135.4,,40.774121,-73.961635,8.0,130.0,5.749711406544601,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9739,3285827,51089.0,1930,1,100,114.1,3.5,0.1,290271.0,2902.7,90.69,40.686079,-73.96739699999999,2.0,199.0,5.954022251632112,4.507447097459476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10416,4366063,124314.0,1963,1,100,84.9,4.7,0.7,8198377.3,87932.3,76.5,40.654205,-73.948975,17.0,818.0,6.13361493921266,4.33729074083249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3093,2637427,1025320.0,1993,1,100,73.9,7.8,0.5,13062097.2,143402.1,,40.770503000000005,-73.985826,7.0,145.0,6.542183734535649,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14604,4046051,837935.0,1971,2,100,89.6,5.8,0.7,44053355.7,473012.9,0.56,40.594254,-73.75121,14.0,101001.0,7.757863472395844,-0.579818495252942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8969,2975384,456082.0,2009,1,100,80.1,7.5,0.6,25049427.2,277569.2,28.9,40.692956,-73.986221,2.0,11.0,7.193310090417744,3.3638415951183864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12626,4408009,51630.0,1951,1,100,120.1,4.3,1.1,5291070.4,57397.8,69.85,,,,,5.70877001616724,4.246350085702971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9298,2805283,109380.0,1970,1,100,26.0,7.9,,,,,40.664714000000004,-73.982323,6.0,151.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3374,3538029,62155.0,1914,1,100,57.7,4.6,0.0,101435.0,1014.4,18.86,40.787252,-73.973963,7.0,173.0,5.330300412401088,2.937043277205311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13662,3481925,62367.0,1969,1,100,93.2,3.8,0.9,5454808.6,58960.1,79.61,,,,,5.668845904775305,4.377139713100487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8882,2732602,404890.0,1960,1,100,97.4,3.6,0.2,9090612.5,90906.1,54.09,40.906656,-73.906827,8.0,323.0,7.824445930877619,3.9906493258833358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
963,2606750,209499.0,2007,1,100,90.0,12.3,0.5,9808190.5,109783.9,49.45,40.722401,-73.98690400000001,3.0,3001.0,6.255750041753367,3.900962058068721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8786,2683130,59352.0,1954,1,100,85.4,3.6,0.8,4333223.9,48559.8,37.29,40.884599,-73.913588,8.0,297.0,5.438948496287782,3.6187251941907292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1593,4036651,218725.0,2012,1,100,65.5,9.0,0.4,7579288.3,85065.2,,40.755795,-73.992301,4.0,115.0,5.9979435132056915,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5443,2809928,75569.0,1909,1,100,69.4,0.0,0.8,4009299.9,44289.0,36.6,40.804684,-73.963915,9.0,199.0,5.3612921657094255,3.6000482404073204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7442,2810875,92291.0,2007,1,100,71.2,5.3,0.6,5506163.0,59557.8,72.95,40.848319000000004,-73.895331,6.0,37504.0,5.678464666671911,4.289774274968795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10075,4405049,67638.0,2002,1,100,80.4,4.9,0.7,4317433.0,46958.0,52.83,40.698714,-73.931208,4.0,391.0,5.435031189863859,3.9670792111762245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
